FECHA_INF,8172 - A,8172 - P,8245 - A,8245 - P,8251 - G,8251 - GLB,8251 - INV,8295 - CLASICA,8295 - LARGOPLAZO,8295 - LIQUIDEZ,8306 - A,8306 - B,8336 - A,8336 - B,8336 - N,8377 - L,8638 - CLASI,8773 - A,8773 - B,8788 - A,8788 - P,8846 - CLASI,8846 - CRECI,8846 - IPA,8846 - PATRI,8886 - AHORROSIST,8886 - CLASICA,8886 - WEB,8900 - INVER,8900 - UNIVE,8910 - GLOBAL,8994 - F1,9063 - INVER,9192 - A,9192 - D,9226 - CLASI,9228 - CLASI,9430 - A,9430 - P,9568 - A,9575 - A,9575 - CUI,9575 - W,9595 - G,9595 - GLB,9595 - INV,9596 - G,9596 - GLB,9596 - INV,9649 - DIGITAL,9649 - GLOBAL,9649 - YOU,9730 - A,9810 - B,9853 - A,9872 - A,9872 - C,9872 - DIGITAL,10020 - SIMPLE,10050 - DIGITAL,10059 - DIGITAL,10072 - CLASI,10147 - DIGITAL,10147 - EJECU,10147 - GLOBAL,10152 - L,10208 - A,10235 - A,10260 - D,10367 - DIGITAL,10368 - DIGITAL,10480 - A,10480 - DIGITAL,10482 - A,10482 - DIGITAL,10580 - DIGITAL
2019-04-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-18,0.9944423391658537,0.9944594089828485,0.9996969549063537,0.9997136210523282,1.0005610713546358,1.0,1.0,1.0004955711803103,1.00050188061588,1.0004692642682678,1.000688844057898,1.0007074799854205,1.001220655356178,1.0012346581216542,1.001172907045373,1.0,1.0009123995087166,1.0015586692052447,1.0015668531674011,1.0003677054232563,1.0003775118552738,1.0009440703608277,1.0009578056727728,1.0009715212001045,1.0009714952335313,1.0,1.0,1.0,1.0017475446866055,1.0017365455228766,1.0,1.0016160156486018,1.0011610651916423,1.0004940038595826,1.0,1.0,1.0010374644997202,1.0006769570531158,1.000681023273571,1.00033352411144,0.9997523694525103,0.9997523636910404,1.0,1.0010518949835874,1.0,1.0,1.0007982259770358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-19,0.9943850556209709,0.9944055394013647,0.999730456964358,0.9997637737106768,1.0005511235482136,1.0,1.0,1.0005556795532229,1.0005682463017738,1.0005030141101285,1.0006290150059147,1.0006662675590854,1.0011573961000455,1.001185372594774,1.001061946712753,1.0,1.0009892574352608,1.0016133676732213,1.0016298074254848,1.000444750603572,1.000464371698231,1.0010689398203625,1.001096344071354,1.0011237673270363,1.0011237908153479,1.0,1.0,1.0,1.001790078907535,1.0017681341559443,1.0,1.0016449004805905,1.001220750666244,1.0005787333290332,1.0,1.0,1.0011620456057548,1.0007909658259424,1.000799133615217,1.0003009240103218,0.9996873951834708,0.999687414766894,1.0,1.0010955570745579,1.0,1.0,1.0009116283225183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-20,0.994327772076088,0.9943786046106229,0.9997541394536369,0.9998041469310338,1.0005329612652765,1.0,1.0,1.000610770615669,1.0006296569642568,1.0005317789454071,1.0005692939486102,1.000625182331597,1.0010942447948619,1.0011362042748544,1.0009510757921658,1.0,1.0010599230170125,1.0016702003299773,1.0016948701993895,1.0005105085526607,1.0005399908556292,1.0011808572041518,1.0012220255565187,1.0012630932633355,1.0012631419331421,1.0,1.0,1.0,1.001838512566641,1.001805603250538,1.0,1.0016566916318128,1.00128092336921,1.000653614661197,1.0,1.0,1.0012746221084246,1.0008896327958652,1.000901942212196,1.0002683239092036,0.9996225167466866,0.9996224658427478,1.0,1.0011308188527244,1.0,1.0,1.001011993711969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-21,0.9942704885312053,0.9943247350291389,0.9997854135422664,0.9998521190390195,1.0005181149178133,1.0,1.0,1.0006678487317653,1.0006930180082951,1.000562497364346,1.0005094648966268,1.0005839699052619,1.0010309855387292,1.0010869187479743,1.0008401154595459,1.0,1.0011341704452619,1.001721895124857,1.0017548122920148,1.0005812643305017,1.0006205734326248,1.00129907172974,1.0013539636145226,1.001408782875618,1.00140883319658,1.0,1.0,1.0,1.0018814109504208,1.0018374934457355,1.0,1.0016812507160155,1.0013405276390845,1.000732311037535,1.0,1.0,1.0014024933650114,1.0009976966200667,1.0010141231277838,1.0002356273580821,0.999557542477647,0.9995575169186016,1.0,1.0011729180948012,1.0,1.0,1.0011229995581812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-22,0.9967066363248671,0.9967764343098442,0.9995381914590629,0.999621509318813,1.0010320095541143,1.0,1.0,1.000450812796844,1.0004822713742978,1.0003191751511702,1.000897705766446,1.0009908790158986,1.0011758017368553,1.0012457341794192,1.0009372169270925,1.0,1.0012574709577513,1.0011060630959476,1.0011471832148888,0.999623927425237,0.9996729982382778,1.0008969133557652,1.0009654373165657,1.0010340009279397,1.0010339720853956,1.0,1.0,1.0,1.001239610342837,1.0011847622163759,1.0,1.001729113022161,1.0016187350349837,1.0004132668782213,1.0,1.0,1.0010787247661015,1.0006599851836537,1.0006805450940504,1.0012152700416839,1.0009331186690815,1.0009330105724392,1.0,1.0012073984485208,1.0,1.0,1.0010167867105104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-23,0.9990596502118335,0.9991635590935956,1.0002557626324728,1.0003558261728682,1.0045705648778978,1.0,1.0,1.0014729035180634,1.0015107022970806,1.0013148291685399,1.0029226599888517,1.003034710084891,1.0054950811340442,1.0055793443360588,1.0052075356103538,1.0,1.0022171022728275,1.0027439344181177,1.0027933316379862,0.9993250684969277,0.9993838790467197,1.0014167137878924,1.0014990336001337,1.0015812770624961,1.0015812719494523,1.0,1.0,1.0,1.0024310783568477,1.0023651517818737,1.0,1.003405410059261,1.0048994872246286,1.0014434175272182,1.0,1.0,1.0014761215989847,1.0011591690956256,1.0011837812217756,1.001118337788359,1.0018460167323118,1.0018524777619133,1.0,1.003552062501453,1.0,1.0,1.0014884177669552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-24,1.006108743488201,1.00623155558867,1.0008513731119661,1.0009681643611639,1.0069713021610778,1.0,1.0,1.0008926838522632,1.0009367629896864,1.0007083424893533,1.002924819882425,1.0030555706957522,1.005248898994777,1.0053471573473558,1.0049135488467325,1.0,1.0024004442461008,1.0015116380080684,1.001569262899768,0.9997276464106913,0.9997962808221055,1.0017148977637562,1.0018109684459717,1.0019069815696373,1.0019069969318979,1.0,1.0,1.0,1.0019964135785842,1.0019195937354988,1.0,1.0026703817863132,1.005652985889704,1.0019963327666073,1.0,1.0,1.0017097222881735,1.0016068620816025,1.0016356608689632,1.0013084407448793,1.0043676508639279,1.00438064181993,1.0,1.005015768168558,1.0,1.0,1.0019949418527794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-25,1.012861877420135,1.0129994535420004,1.000348058326753,1.0004815051665163,1.0077071383876275,1.0,1.0,1.000625027725608,1.0006753591482676,1.0004144291958632,1.0026873935813685,1.002836788679405,1.0052966672897237,1.005408984019007,1.0049133700226671,1.0,1.0020038306330563,1.0013914120401604,1.00145721034471,0.9984445521504619,0.9985228717294711,1.0009860751589634,1.0010957940429726,1.0012054345021544,1.0012054862336948,1.0,1.0,1.0,1.0015078526984578,1.0014200560679385,1.0,1.0037361902246191,1.0060028158551255,1.00148050330547,1.0,1.0,1.0007770979911765,1.0010071893606132,1.001040040457813,1.0013951492978534,1.0057674726159331,1.0057870776552864,1.0,1.0052815501585608,1.0,1.0,1.0014501696385973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-26,1.01745154062146,1.0175919413931385,0.9997362744399474,0.999886280994706,1.0065399291007775,1.0,1.0,1.0004365556869053,1.0004931829684038,1.0001996697231044,1.0034427083639879,1.0036109208605033,1.006869188764271,1.006995731849931,1.0064373087085445,1.0,1.0010557947871508,1.0010218812052032,1.001095901097957,0.9982495245183651,0.9983376923836031,1.0002151046391758,1.000338404961696,1.0004616557667825,1.0004616418546828,1.0,1.0,1.0,1.0007061845995386,1.0006074969099301,1.0,1.003463249493364,1.0051065592793695,1.0012390021370463,1.0,1.0,0.9999526040474545,1.000475116458667,1.0005121302668127,1.0009114525312628,1.005046334895399,1.0050725406328673,1.0,1.0045262057525732,1.0,1.0,1.0008686830555902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
