RUN_ADM,RUN_FM,FECHA_INF,ACTIVO_TOT,MONEDA,PARTICIPES_INST,INVERSION_EN_FONDOS,SERIE,CUOTAS_APORTADAS,CUOTAS_RESCATADAS,CUOTAS_EN_CIRCULACION,VALOR_CUOTA,PATRIMONIO_NETO,NUM_PARTICIPES,NUM_PARTICIPES_INST,FONDO_PEN,REM_FIJA,REM_VARIABLE,GASTOS_AFECTOS,GASTOS_NO_AFECTOS,COMISION_INVERSION,COMISION_RESCATE,FACTOR DE AJUSTE,FACTOR DE REPARTO,RUN_FM_SERIE
77057272,9810,2019-10-21,368538.0,$$,false,0.0,B,0.0,0.0,0.0,999.9514,0.0,0,0,false,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9810-B
77057272,9811,2019-10-21,11169816.0,$$,false,0.0,A,0.0,0.0,11170.4909,999.7761,11167990.0,2,0,false,456.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9811-A
77057272,9809,2019-10-22,22549909.0,$$,false,0.0,A,0.0,0.0,22462.8423,1003.6702,22545286.0,2,0,false,920.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9809-A
77057272,9810,2019-10-22,368547.0,$$,false,0.0,A,0.0,0.0,368.4921,999.7989,368418.0,2,0,false,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9810-A
77057272,9810,2019-10-22,368547.0,$$,false,0.0,B,0.0,0.0,0.0,999.9514,0.0,0,0,false,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9810-B
77057272,9811,2019-10-22,11169816.0,$$,false,0.0,A,0.0,0.0,11170.4909,999.7353,11167534.0,2,0,false,456.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9811-A
77057272,9809,2019-10-23,22432559.0,$$,false,0.0,A,0.0,0.0,22462.8423,998.4053,22427020.0,2,0,false,916.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9809-A
77057272,9810,2019-10-23,368556.0,$$,false,0.0,A,0.0,0.0,368.4921,999.7826,368412.0,2,0,false,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9810-A
77057272,9810,2019-10-23,368556.0,$$,false,0.0,B,0.0,0.0,0.0,999.9514,0.0,0,0,false,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9810-B
77057272,9811,2019-10-23,11169816.0,$$,false,0.0,A,0.0,0.0,11170.4909,999.6945,11167078.0,2,0,false,456.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9811-A
