FECHA_INF,96836390,77057272
2015-03-03,11061725735.0,0.0
2015-03-04,1234151270.6135,0.0
2015-03-05,-46039518.9751,0.0
2015-03-06,5244093754.9967,0.0
2015-03-07,0.0,0.0
2015-03-08,-36815045.793800004,0.0
2015-03-09,-33945595.5258,0.0
2015-03-10,-163431547.1738,0.0
2015-03-11,7539604.664300003,0.0
2015-03-12,52441059.934999995,0.0
2015-03-13,5665557.216600001,0.0
2015-03-14,0.0,0.0
2015-03-15,-13919031.069400001,0.0
2015-03-16,111317306.97630002,0.0
2015-03-17,-12045566.866100002,0.0
2015-03-18,-25681216.143600002,0.0
2015-03-19,-53663862.8736,0.0
2015-03-20,60243048.8224,0.0
2015-03-21,0.0,0.0
2015-03-22,-32182432.5972,0.0
2015-03-23,-5705440.1822999995,0.0
2015-03-24,-37356839.1648,0.0
2015-03-25,-1762708.3200000012,0.0
2015-03-26,8001747.480700001,0.0
2015-03-27,6741697.919400001,0.0
2015-03-28,0.0,0.0
2015-03-29,-40517741.1498,0.0
2015-03-30,-21218658.8497,0.0
2015-03-31,2031256.621799998,0.0
2015-04-01,-24636160.986300003,0.0
2015-04-02,9286524.7154,0.0
2015-04-03,0.0,0.0
2015-04-04,0.0,0.0
2015-04-05,-19825849.0852,0.0
2015-04-06,-46990376.4596,0.0
2015-04-07,-38316898.102199994,0.0
2015-04-08,-15673042.364299998,0.0
2015-04-09,-16784114.170599997,0.0
2015-04-10,6193393.4772,0.0
2015-04-11,0.0,0.0
2015-04-12,-98456774.88829999,0.0
2015-04-13,6082321.684999999,0.0
2015-04-14,12627082.678199999,0.0
2015-04-15,41233919.93199999,0.0
2015-04-16,4581729.457599999,0.0
2015-04-17,21963568.7483,0.0
2015-04-18,0.0,0.0
2015-04-19,-31732588.5526,0.0
2015-04-20,25217417.047300003,0.0
2015-04-21,-23421643.913500004,0.0
2015-04-22,-70209355.6268,0.0
2015-04-23,-30848769.259400003,0.0
2015-04-24,15823783.602,0.0
2015-04-25,0.0,0.0
2015-04-26,-71691696.5625,0.0
2015-04-27,-12208982.072900003,0.0
2015-04-28,-17543302.462800004,0.0
2015-04-29,-8316428.007500002,0.0
2015-04-30,11473277.820200002,0.0
2015-05-01,0.0,0.0
2015-05-02,0.0,0.0
